Title,Link,Date
          Understand Django: Store Data With Models        ,"<a data-preload-image=""https://res.cloudinary.com/practicaldev/image/fetch/s--Dll-Zu2m--/c_imagga_scale,f_auto,fl_progressive,h_420,q_auto,w_1000/https://res.cloudinary.com/practicaldev/image/fetch/s--FEdjNs30--/c_imagga_scale%2Cf_auto%2Cfl_progressive%2Ch_420%2Cq_auto%2Cw_1000/https://dev-to-uploads.s3.amazonaws.com/i/mzxzz7pxya4vae947h6t.png"" href=""/mblayman/understand-django-store-data-with-models-f73"" id=""article-link-367544"">
          Understand Django: Store Data With Models

        </a>",Jun 25
          What is __name__ in Python?         ,"<a data-preload-image=""https://res.cloudinary.com/practicaldev/image/fetch/s--8Ro8Y1M8--/c_imagga_scale,f_auto,fl_progressive,h_420,q_auto,w_1000/https://res.cloudinary.com/practicaldev/image/fetch/s--jYNBslec--/c_imagga_scale%2Cf_auto%2Cfl_progressive%2Ch_420%2Cq_auto%2Cw_1000/https://dev-to-uploads.s3.amazonaws.com/i/6dllg4wtjer8w4en9duw.jpg"" href=""/adrianmarkperea/what-is-name-in-python-43i2"" id=""article-link-374130"">
          What is __name__ in Python? 

        </a>",Jun 29
          tkinter gui        ,"<a data-preload-image="""" href=""/importostar/tkinter-gui-43o0"" id=""article-link-368840"">
          tkinter gui

        </a>",Jun 26
          Simple Translator in Python        ,"<a data-preload-image=""https://res.cloudinary.com/practicaldev/image/fetch/s--l9eF0Rzs--/c_imagga_scale,f_auto,fl_progressive,h_420,q_auto,w_1000/https://res.cloudinary.com/practicaldev/image/fetch/s--0QGwzjuh--/c_imagga_scale%2Cf_auto%2Cfl_progressive%2Ch_420%2Cq_auto%2Cw_1000/https://dev-to-uploads.s3.amazonaws.com/i/h0paj2y01ti316e0xyue.png"" href=""/codesnail/simple-translator-in-python-45bl"" id=""article-link-372247"">
          Simple Translator in Python

        </a>",Jun 28
          Flask QuickSheet        ,"<a data-preload-image="""" href=""/imshubh17/flask-quicksheet-2ppn"" id=""article-link-375054"">
          Flask QuickSheet

        </a>",Jun 30
          Don't Try This at Work: Exception Driven Fizz Buzz        ,"<a data-preload-image="""" href=""/fronkan/don-t-try-a-this-at-work-exception-driven-fizz-buzz-4j8d"" id=""article-link-369988"">
          Don't Try This at Work: Exception Driven Fizz Buzz

        </a>",Jun 27
          Building a Redis Prize Draw Application with Flask or Express        ,"<a data-preload-image=""https://res.cloudinary.com/practicaldev/image/fetch/s--_iAoSWb6--/c_imagga_scale,f_auto,fl_progressive,h_420,q_auto,w_1000/https://res.cloudinary.com/practicaldev/image/fetch/s--eNa3Gd-j--/c_imagga_scale%2Cf_auto%2Cfl_progressive%2Ch_420%2Cq_auto%2Cw_1000/https://dev-to-uploads.s3.amazonaws.com/i/syh4gjcba9p4r1kxtjmk.jpg"" href=""/simonprickett/building-a-redis-prize-draw-application-with-flask-or-express-49no"" id=""article-link-373213"">
          Building a Redis Prize Draw Application with Flask or Express

        </a>",Jun 29
    #discussWeb Development With Python        ,"<a data-preload-image="""" href=""/zekethedev/web-development-with-python-2198"" id=""article-link-373041"">
<span class=""crayons-story__flare-tag"" style=""background:#000000;color:#FFFFFF"">
    #discuss</span>Web Development With Python

        </a>",Jun 28
          Writing a swagger.json file        ,"<a data-preload-image="""" href=""/ziishaned/getting-started-with-swagger-3bbc"" id=""article-link-360614"">
          Writing a swagger.json file

        </a>",Jun 22
          DS: Singly Linked List in Python        ,"<a data-preload-image=""https://res.cloudinary.com/practicaldev/image/fetch/s--RN53nIN9--/c_imagga_scale,f_auto,fl_progressive,h_420,q_auto,w_1000/https://res.cloudinary.com/practicaldev/image/fetch/s--RIieP75k--/c_imagga_scale%2Cf_auto%2Cfl_progressive%2Ch_420%2Cq_auto%2Cw_1000/https://dev-to-uploads.s3.amazonaws.com/i/g41hkvg5j2wejpc2yg99.png"" href=""/irfanbaigse/ds-singly-linked-list-in-python-409a"" id=""article-link-364529"">
          DS: Singly Linked List in Python

        </a>",Jun 26
"    #showdevPolyFriends, a New Twitter Bot        ","<a data-preload-image="""" href=""/visualmov/polyfriends-a-new-twitter-bot-hla"" id=""article-link-368170"">
<span class=""crayons-story__flare-tag"" style=""background:#091b47;color:#b2ffe1"">
    #showdev</span>PolyFriends, a New Twitter Bot

        </a>",Jun 26
          Collaborative Data Science with Ploomber        ,"<a data-preload-image="""" href=""/edublancas/collaborative-data-science-with-ploomber-ad"" id=""article-link-371724"">
          Collaborative Data Science with Ploomber

        </a>",Jun 27
          Deciphering Single-byte XOR Ciphertext        ,"<a data-preload-image=""https://res.cloudinary.com/practicaldev/image/fetch/s--1-Mz_O-N--/c_imagga_scale,f_auto,fl_progressive,h_420,q_auto,w_1000/https://res.cloudinary.com/practicaldev/image/fetch/s--u4pdEjrz--/c_imagga_scale%2Cf_auto%2Cfl_progressive%2Ch_420%2Cq_auto%2Cw_1000/https://dev-to-uploads.s3.amazonaws.com/i/7xwiity2olmp4vnuj0j3.png"" href=""/arpit_bhayani/deciphering-single-byte-xor-ciphertext-9kb"" id=""article-link-360214"">
          Deciphering Single-byte XOR Ciphertext

        </a>",Jun 21
    #helpPygame is not working In linux        ,"<a data-preload-image="""" href=""/gogamic/pygame-is-not-working-in-linux-2i74"" id=""article-link-360729"">
<span class=""crayons-story__flare-tag"" style=""background:#ff3232;color:#ffffff"">
    #help</span>Pygame is not working In linux

        </a>",Jun 22
